,stop_id,level6,level5,level4,level3,level2,level1,levelNights,stop_lat,stop_lon
3097,COMM_3039,1,1,1,1,1,,,47.896164,-122.26352
3098,COMM_3040,1,1,1,1,1,,,47.888695,-122.258072
3099,COMM_3041,1,1,1,1,1,,,47.881764,-122.249921
3100,COMM_3042,1,1,1,1,1,,,47.8818,-122.239181
3101,COMM_3043,1,1,1,1,1,,,47.881877,-122.227604
3102,COMM_3044,1,1,1,1,1,,,47.880043,-122.219476
3103,COMM_3045,1,1,1,1,1,,,47.87807,-122.211353
3104,COMM_3046,1,1,1,1,1,,,47.870936,-122.217941
3105,COMM_3047,1,1,1,1,1,,,47.858941,-122.219074
3106,COMM_3048,1,1,1,1,1,,,47.849202,-122.217555
3107,COMM_3049,1,1,1,1,1,,,47.834326,-122.210721
3108,COMM_3050,1,1,1,1,1,,,47.819965,-122.207621
3109,COMM_3051,1,1,1,1,1,,,47.808928,-122.207877
3110,COMM_3224,1,1,1,1,1,,,47.880081,-122.220702
3111,COMM_3236,1,1,1,1,1,,,47.849542,-122.221095
3112,COMM_3237,1,1,1,1,1,,,47.849589,-122.236405
3113,COMM_3238,1,1,1,1,1,,,47.849795,-122.247575
3114,COMM_3239,1,1,1,1,1,,,47.853173,-122.258775
3115,COMM_3240,1,1,1,1,1,,,47.850128,-122.277357
3116,COMM_3242,1,1,1,1,1,,,47.834407,-122.281854
3117,COMM_3243,1,1,1,1,1,,,47.827852,-122.277865
3118,COMM_3244,1,1,1,1,1,,,47.816041,-122.295813
3119,COMM_3246,1,1,1,1,1,,,47.82128,-122.314391
3120,COMM_3222,1,1,1,1,1,,,47.816345,-122.325071
3121,COMM_3225,1,1,1,1,1,,,47.821055,-122.315824
3122,COMM_3227,1,1,1,1,1,,,47.815867,-122.295618
3123,COMM_3228,1,1,1,1,1,,,47.828597,-122.277634
3124,COMM_3229,1,1,1,1,1,,,47.835905,-122.281566
3125,COMM_3231,1,1,1,1,1,,,47.849864,-122.276282
3126,COMM_3233,1,1,1,1,1,,,47.849485,-122.246346
3127,COMM_3234,1,1,1,1,1,,,47.849303,-122.235374
3128,COMM_2986,1,1,,,,,,47.979241,-122.195589
3129,COMM_2440,1,1,,,,,,47.979318,-122.202649
3130,COMM_2355,1,1,,,,,,47.977325,-122.207239
3131,COMM_2359,1,1,,,,,,47.976509,-122.205033
3132,COMM_2345,1,1,1,1,1,,,47.974851,-122.197619
3133,COMM_2868,1,1,1,1,,,,47.899018,-122.214478
3134,COMM_2698,1,1,,,,,,47.611807,-122.336694
3135,COMM_2700,1,1,,,,,,47.608238,-122.333425
3136,COMM_2702,1,1,,,,,,47.605927,-122.331319
3137,COMM_2706,1,1,,,,,,47.598591,-122.327766
3138,COMM_2347,1,1,,,,,,47.974434,-122.197432
3139,COMM_2867,1,1,,,,,,47.899271,-122.214356
3140,COMM_2164,1,1,1,1,1,,,47.852713,-122.258448
3141,COMM_2736,1,1,1,,,,,47.793847,-122.214072
3142,COMM_2860,1,1,1,,,,,47.615437,-122.194537
3143,COMM_3339,1,1,1,,,,,47.617484,-122.196999
3144,COMM_2858,1,1,1,,,,,47.617541,-122.204908
3145,COMM_2856,1,1,1,,,,,47.619172,-122.20488
3146,COMM_2914,1,1,1,,,,,47.61919,-122.19681
3147,COMM_355,1,1,1,,,,,47.615535,-122.194839
3148,COMM_2869,1,1,1,1,1,,,47.899578,-122.213979
3149,COMM_430,1,1,1,,,,,47.614549,-122.333373
3150,COMM_431,1,1,1,,,,,47.617822,-122.329199
3151,COMM_2150,1,1,1,,,,,47.743897,-122.186271
3152,COMM_374,1,1,1,,,,,47.760598,-122.200276
3153,COMM_2350,1,1,1,,,,,47.769422,-122.188769
3154,COMM_2113,1,1,1,,,,,47.815889,-122.297029
3155,COMM_1399,1,1,1,,,,,47.759468,-122.199971
3156,COMM_2151,1,1,1,,,,,47.74125,-122.187676
3157,COMM_3190,1,1,,,,,,47.930484,-122.260484
3158,COMM_394,1,1,,,,,,47.921803,-122.230584
3159,COMM_2144,1,1,,,,,,47.915359,-122.20514
3160,COMM_2422,1,1,1,1,,,,47.815878,-122.296312
3161,COMM_2114,1,1,1,1,1,,,47.815883,-122.296616
3162,COMM_1765,1,1,,,,,,47.92207,-122.228859
3163,COMM_2356,1,1,,,,,,47.976682,-122.205443
3164,COMM_2466,1,1,,,,,,47.97733,-122.207064
3165,COMM_426,1,1,,,,,,47.97912,-122.203823
3166,COMM_427,1,1,,,,,,47.97905,-122.196617
3167,COMM_2131,1,1,1,,,,,47.852882,-122.258253
3168,COMM_2543,1,1,,,,,,47.815872,-122.295956
3169,COMM_419,1,1,,,,,,48.061149,-122.179776
3170,COMM_2862,1,,,,,,,47.777736,-122.330271
3171,COMM_2661,1,,,,,,,47.777888,-122.34332
3172,COMM_1703,1,,,,,,,47.783281,-122.348479
3173,COMM_1705,1,,,,,,,47.783288,-122.350121
3174,COMM_1851,1,,,,,,,47.784171,-122.352662
3175,COMM_1850,1,,,,,,,47.789936,-122.356006
3176,COMM_1853,1,,,,,,,47.791995,-122.360234
3177,COMM_3001,1,1,,,,,,48.061331,-122.17978
3178,COMM_2917,1,,,,,,,47.812042,-122.382954
3179,COMM_487,1,,,,,,,47.790398,-122.365676
3180,COMM_493,1,,,,,,,47.791656,-122.36031
3181,COMM_489,1,,,,,,,47.788256,-122.35465
3182,COMM_491,1,,,,,,,47.783826,-122.352773
3183,COMM_326,1,,,,,,,47.78316,-122.349924
3184,COMM_327,1,,,,,,,47.783159,-122.347461
3185,COMM_272,1,,,,,,,47.777691,-122.343484
3186,COMM_490,1,,,,,,,47.777632,-122.3346
